sales_key,date_key,store_key,product_key,category_key,supplier_key,promotion_key,channel_key,units_sold,unit_price,sales_amount,cost_amount,on_hand_qty
1,20250218,7,18,1,2,3,1,20,54.63,961.49,706.4,133
2,20260222,11,70,3,9,2,3,39,87.32,2894.66,2544.75,125
3,20251220,26,144,3,8,3,1,8,84.37,593.96,457.44,102
4,20250825,4,85,4,7,4,3,6,81.22,389.86,327.6,19
5,20250822,4,34,4,12,0,1,6,54.24,325.44,235.5,60
6,20260409,10,197,3,1,2,1,14,54.48,648.31,497.84,122
7,20250216,19,40,4,10,0,1,16,47.37,757.92,510.72,44
8,20260112,25,17,4,2,2,1,16,70.66,960.98,729.76,143
9,20250419,17,77,2,8,0,2,4,59.38,237.52,172.2,11
10,20250220,15,23,2,11,2,1,9,64.15,490.75,377.19,73
11,20251012,27,119,2,15,0,1,21,87.29,1833.09,1292.76,89
12,20260611,6,88,2,9,1,2,41,79.26,2924.69,2217.69,239
13,20260202,28,186,3,2,0,2,10,98.25,982.5,711.9,39
14,20260216,10,34,4,12,0,2,13,54.6,709.8,510.25,84
15,20260123,9,54,3,5,1,1,8,33.13,238.54,172.56,93
16,20260301,29,137,4,15,0,1,11,47.64,524.04,341.22,152
17,20251005,20,140,3,15,1,1,5,30.0,135.0,103.35,26
18,20250311,13,73,3,3,1,3,9,63.26,512.41,414.54,32
19,20260330,10,185,3,1,1,2,15,69.74,941.49,707.4,90
20,20250901,14,170,1,12,1,1,21,106.94,2021.17,1567.23,150
21,20250928,24,123,4,10,0,2,30,94.88,2846.4,1943.7,204
22,20250720,5,150,1,3,1,3,1,7.55,6.8,5.0,13
23,20250409,6,108,4,9,4,3,2,54.68,87.49,76.86,14
24,20260516,10,95,6,9,0,3,13,55.49,721.37,519.48,58
25,20260227,15,110,5,2,2,1,7,35.02,208.37,167.58,14
26,20251214,25,169,3,1,0,1,27,67.56,1824.12,1147.5,175
27,20250806,7,4,3,11,0,3,28,60.42,1691.76,1168.44,167
28,20260321,24,21,4,2,0,3,26,77.25,2008.5,1449.76,133
29,20251022,28,95,6,9,2,1,7,55.47,330.05,279.72,36
30,20250828,14,117,1,11,0,3,11,127.46,1402.06,878.68,63
31,20250901,29,36,1,11,2,2,11,45.74,427.67,365.09,34
32,20250503,27,122,5,2,0,3,15,44.95,674.25,465.75,46
33,20250219,24,5,3,7,0,1,5,75.16,375.8,258.75,18
34,20251027,12,50,5,1,4,2,12,30.08,288.77,231.0,218
35,20260425,10,92,5,5,0,2,28,71.51,2002.28,1289.4,92
36,20250204,26,10,1,12,0,3,11,63.78,701.58,484.33,68
37,20260409,14,127,1,4,0,3,13,104.73,1361.49,889.46,70
38,20260323,1,108,4,9,0,2,1,53.85,53.85,38.43,7
39,20250530,22,114,3,5,2,2,7,119.44,710.67,557.55,41
40,20251208,11,103,5,1,0,1,9,14.04,126.36,88.83,68
41,20250331,29,139,3,4,1,2,13,66.61,779.34,593.58,37
42,20260214,26,131,4,9,0,3,9,17.62,158.58,122.04,21
43,20260114,4,133,1,5,2,1,26,29.49,651.73,560.56,111
44,20250711,28,43,5,2,0,3,17,35.9,610.3,403.75,86
45,20250206,29,138,1,5,0,1,11,36.66,403.26,272.03,6
46,20260609,23,36,1,11,2,1,27,47.14,1081.86,896.13,86
47,20250829,9,5,3,7,0,3,3,75.77,227.31,155.25,9
48,20260428,21,196,1,14,0,2,22,67.02,1474.44,1013.98,82
49,20260102,27,36,1,11,3,3,11,45.54,440.83,365.09,29
50,20260225,25,23,2,11,4,3,11,59.96,527.65,461.01,109
51,20260215,13,61,6,12,0,1,14,80.08,1121.12,751.8,69
52,20250416,22,200,6,5,3,2,4,68.48,241.05,191.04,31
53,20250716,12,173,5,7,2,1,18,72.08,1102.82,882.9,101
54,20250910,8,144,3,8,4,2,20,89.32,1429.12,1143.6,85
55,20250926,21,38,5,7,3,1,23,98.24,1988.38,1589.76,89
56,20250124,14,126,4,4,0,1,17,59.38,1009.46,700.23,35
57,20251023,7,167,2,8,4,2,21,99.27,1667.74,1365.0,246
58,20250325,20,68,3,6,0,2,5,48.36,241.8,169.45,56
59,20260206,10,52,2,8,0,3,4,131.73,526.92,326.96,1
60,20260104,18,174,5,6,0,2,13,87.6,1138.8,804.57,111
61,20260514,11,27,3,13,0,2,4,70.86,283.44,194.12,32
62,20260207,27,183,3,15,0,3,24,111.26,2670.24,1850.16,131
63,20250717,26,96,2,8,0,1,3,67.88,203.64,144.15,29
64,20260607,15,145,6,14,3,2,9,7.8,61.78,45.0,88
65,20250810,22,75,5,7,1,2,18,47.78,774.04,550.26,53
66,20250625,6,142,2,5,0,2,15,71.97,1079.55,768.6,79
67,20260504,30,185,3,1,2,1,18,71.9,1100.07,848.88,77
68,20250720,7,99,4,5,4,1,43,61.41,2112.5,1731.18,157
69,20250211,27,43,5,2,0,3,38,36.72,1395.36,902.5,121
70,20250911,26,16,5,5,0,3,9,28.04,252.36,166.23,34
71,20260306,6,186,3,2,4,2,23,98.62,1814.61,1637.37,5
72,20250413,1,200,6,5,0,1,9,68.39,615.51,429.84,79
73,20250907,23,131,4,9,0,1,10,18.38,183.8,135.6,65
74,20250312,27,4,3,11,0,2,18,63.78,1148.04,751.14,135
75,20260106,22,177,5,12,4,3,5,89.16,356.64,310.7,17
76,20250914,2,100,1,1,0,3,14,63.35,886.9,679.42,12
77,20250628,20,47,3,12,3,2,13,14.39,164.62,128.05,71
78,20250503,12,74,1,15,1,3,16,65.52,943.49,720.0,60
79,20251101,28,189,2,14,0,1,17,18.68,317.56,220.49,15
